task,task_label,variant,method_label,metric,count,mean,std,ci95_low,ci95_high,min,max
alanine_temperature_fe,"Ala.
temp. FE",A5,A5 over-noise,A_swap,10,0.031022283,0.01623443629229002,0.019408866884063264,0.04263569911593674,0.005,0.05415235
alanine_temperature_fe,"Ala.
temp. FE",A5,A5 over-noise,R_high_E,10,0.35304157599999997,0.03920895252837581,0.32499318103365976,0.3810899709663402,0.3001399,0.427715
alanine_temperature_fe,"Ala.
temp. FE",A5,A5 over-noise,Ubar,10,0.234584842,0.07948334038745643,0.17772588554565405,0.2914437984543459,0.1466676,0.348785
alanine_temperature_fe,"Ala.
temp. FE",B1,B1 learned,A_swap,10,0.266305503,0.05052805703203276,0.23015990845776993,0.30245109754223004,0.1892666,0.32140933
alanine_temperature_fe,"Ala.
temp. FE",B1,B1 learned,R_high_E,10,0.08727673,0.03267519218714915,0.06390230561559532,0.11065115438440468,0.0461624,0.1313415
alanine_temperature_fe,"Ala.
temp. FE",B1,B1 learned,Ubar,10,0.625527521,0.04701848924211491,0.5918925200131964,0.6591625219868036,0.5624122,0.68538068
lj_lambda_fe,"LJ-$\lambda$
FE",F0,F0 det.,A_swap,10,0.10675293500000001,0.018706911871263724,0.09337081640384534,0.12013505359615467,0.0805936,0.1270125
lj_lambda_fe,"LJ-$\lambda$
FE",F0,F0 det.,R_high_E,10,0.1470261,0.08114906829168692,0.08897555358592485,0.20507664641407514,0.0633213,0.23697568
lj_lambda_fe,"LJ-$\lambda$
FE",F0,F0 det.,Ubar,10,0.274695126,0.03062246802503358,0.2527891320209804,0.2966011199790196,0.23169018,0.3148722
lj_lambda_fe,"LJ-$\lambda$
FE",A2,A2 fixed,A_swap,10,0.207207416,0.03915358111682937,0.1791986313553019,0.23521620064469811,0.1553138,0.26701884
lj_lambda_fe,"LJ-$\lambda$
FE",A2,A2 fixed,R_high_E,10,0.106534014,0.05409983721744563,0.06783332183559027,0.14523470616440973,0.0441181,0.16521623
lj_lambda_fe,"LJ-$\lambda$
FE",A2,A2 fixed,Ubar,10,0.48737416399999994,0.04026055874541619,0.45857349526395724,0.5161748327360426,0.4319941,0.53659024
