tier,task,variant,seed,run_id,metric,value,unit,config,checkpoint_id,sigma_value,hutchinson_M,same_chi2_decile_id,is_chi2_opt,is_utility_opt
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,chi2,5.075393,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_012,0.072,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,sigma_value,0.072,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_012,0.072,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,checkpoint_se_U,0.011412,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_012,0.072,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,U_normalized,0.238263,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_013,0.078,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,C_mode,0.242847,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_013,0.078,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,A_swap,0.099,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_013,0.078,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,R_high_E,0.0215,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_013,0.078,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,chi2,4.722459,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_013,0.078,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,sigma_value,0.078,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_013,0.078,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,checkpoint_se_U,0.008986,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_013,0.078,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,U_normalized,0.25644,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_014,0.084,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,C_mode,0.258616,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_014,0.084,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,A_swap,0.101982,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_014,0.084,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,R_high_E,0.016685,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_014,0.084,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,chi2,4.360522,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_014,0.084,,D09,FALSE,FALSE
